k1	mu	t	BS	1sig	UL	Ntri
0.08072659622792022	0.55	0.95	1.450034379646251e+16	623658814.3043727	1.4500345043780138e+16	14358218.0
0.08072659622792022	0.65	0.95	8792918716738641.0	645462731.8813457	8792920007664105.0	19797968.0
0.08072659622792022	0.75	0.95	8044271234553952.0	479060184.19046074	8044272192674322.0	21120368.0
0.08072659622792022	0.85	0.95	1.7874099867516732e+16	583446412.3180462	1.7874101034409552e+16	21630680.0
0.08072659622792022	0.95	0.95	4.852186092264689e+16	409233311.6114035	4.852186174111353e+16	44901076.0
0.11890935754756565	0.85	0.55	1.2114981746340811e+17	10508394359.405092	1.2114983848019683e+17	7678208.0
0.11890935754756565	0.95	0.55	1.302355165498876e+17	4140140502.1740575	1.302355248301686e+17	32482133.0
0.11890935754756565	0.75	0.65	2.134837451539222e+16	7926248113.622141	2.1348390367888444e+16	16284646.0
0.11890935754756565	0.85	0.65	3.4985184215769788e+16	3912758847.7431636	3.498519204128749e+16	51654036.0
0.11890935754756565	0.95	0.65	5.474958460624299e+16	2856908855.2520475	5.474959032006068e+16	60138766.0
0.11890935754756565	0.65	0.75	1.4901173523673506e+16	9885978950.585249	1.4901193295631408e+16	14568376.0
0.11890935754756565	0.75	0.75	1.2379100305080112e+16	4707354093.392619	1.2379109719788296e+16	45653316.0
0.11890935754756565	0.85	0.75	1.844481735483117e+16	4197952415.8797603	1.8444825750735996e+16	61381404.0
0.11890935754756565	0.95	0.75	3.3503751663453056e+16	2907384294.7866483	3.3503757478221636e+16	79549858.0
0.11890935754756565	0.55	0.85	1.6669767516575476e+16	46434474416.35022	1.6669860385524306e+16	2644404.0
0.11890935754756565	0.65	0.85	1.2019256471076542e+16	7856367123.555043	1.201927218381079e+16	26850099.0
0.11890935754756565	0.75	0.85	1.03347523986826e+16	6433734735.040306	1.033476526615207e+16	42817509.0
0.11890935754756565	0.85	0.85	1.1547887031971534e+16	4359453562.895255	1.1547895750878662e+16	58780289.0
0.11890935754756565	0.95	0.85	2.6905903815350244e+16	2524680573.9632387	2.6905908864711376e+16	86382808.0
0.11890935754756565	0.55	0.95	1.0674288419719168e+16	36967754735.8237	1.0674362355228644e+16	9785432.0
0.11890935754756565	0.65	0.95	1.1839657397658764e+16	12653464163.064962	1.183968270458709e+16	22971604.0
0.11890935754756565	0.75	0.95	1.4361894111515786e+16	6094142406.311492	1.4361906299800596e+16	39527248.0
0.11890935754756565	0.85	0.95	1.0965399016360216e+16	3440849274.650617	1.0965405898058764e+16	64798922.0
0.11890935754756565	0.95	0.95	3.4510084038169012e+16	2524164746.8570914	3.451008908649851e+16	98139024.0
0.1751521304385743	0.85	0.55	5.523688993960373e+16	71029439159.03201	5.523703199848203e+16	21611052.0
0.1751521304385743	0.95	0.55	1.73905289064133e+17	21965562085.821457	1.7390533299525712e+17	141681938.0
0.1751521304385743	0.75	0.65	2.2776319986796828e+16	111848515809.84976	2.2776543683828436e+16	20594094.0
0.1751521304385743	0.85	0.65	4.563997018127681e+16	32099229346.961292	4.564003437973549e+16	113710693.0
0.1751521304385743	0.95	0.65	8.331324400733214e+16	16443820616.268652	8.331327689497339e+16	236771288.0
0.1751521304385743	0.65	0.75	2.2198775226838436e+16	481823958193.5972	2.2199738874754816e+16	7572284.0
0.1751521304385743	0.75	0.75	1.846934671419046e+16	95649412357.2593	1.8469538013015184e+16	41437988.0
0.1751521304385743	0.85	0.75	3.278503444027234e+16	34884689460.54312	3.2785104209651264e+16	111604102.0
0.1751521304385743	0.95	0.75	5.70239821972883e+16	16781475117.863697	5.702401576023854e+16	259418791.0
0.1751521304385743	0.75	0.85	2.0318491850917988e+16	301368837782.291	2.031909458859356e+16	28074204.0
0.1751521304385743	0.85	0.85	3.204118162580037e+16	42654658137.3046	3.2041266935116628e+16	100729246.0
0.1751521304385743	0.95	0.85	4.3464364195059064e+16	16333882468.560902	4.346439686282399e+16	291434077.0
0.1751521304385743	0.85	0.95	4.2664580008137656e+16	47433032521.193535	4.266467487420269e+16	87595828.0
0.1751521304385743	0.95	0.95	9.042009551079187e+16	13961791346.203556	9.042012343437456e+16	312970542.0
0.25799709484511807	0.85	0.55	4385757507464079.5	785539221610.5267	4387328585907299.0	34344278.0
0.25799709484511807	0.95	0.55	6599237858577583.0	108003553718.323	6599453865685021.0	485106202.0
0.25799709484511807	0.85	0.65	7599574088037363.0	517207742342.06525	7600608503522047.0	122720284.0
0.25799709484511807	0.95	0.65	7872882047431215.0	90392700905.4669	7873062832833027.0	706858282.0
0.25799709484511807	0.85	0.75	1.557449322841789e+16	1027198729088.9641	1.5576547625876066e+16	85140406.0
0.25799709484511807	0.95	0.75	9381463961357126.0	100449348214.4261	9381664860053554.0	760888522.0
0.25799709484511807	0.95	0.85	1.089969495483132e+16	107298287046.62901	1.089990955140541e+16	781337900.0
0.25799709484511807	0.95	0.95	1.3148381966953066e+16	89971242545.12549	1.3148561909438156e+16	798013444.0
0.3800267846120449	0.95	0.55	3147095704332596.0	627077905014.4722	3148349860142625.0	1419034732.0
0.3800267846120449	0.95	0.65	-2144762452200134.2	791443011520.87	2146345338223175.5	1745906910.0
0.3800267846120449	0.95	0.75	-8117013941348075.0	761011107371.678	8118535963562818.0	1763478982.0
0.3800267846120449	0.95	0.85	-2.1375504366508464e+16	586156185586.2562	2.1376676678879636e+16	1768549060.0
0.3800267846120449	0.95	0.95	-3.528471646929494e+16	651880663420.8152	3.5286020230621788e+16	1773487484.0
